Topology,Number of routers,Incremental-greedy method,Network-partition-based method,Primal-dual-based method
KentmanJul2005,16,1,1,1
Mren,6,1,1,1
Arnes,34,1,1,1
Belnet2007,21,1,1,1
Belnet2008,21,1,1,1
Belnet2009,21,1,1,1
Telecomserbia,6,1,1,1
Surfnet,50,1,1,1
Heanet,7,1,1,1
Oxford,20,1,1,1
Itnet,11,1,1,1
Kreonet,13,1,1,1
Spiralight,15,1,1,1
Palmetto,45,1,1,1
York,23,1,1,1
Noel,19,1,1,1
Iris,51,1,1,1
Sago,18,1,1,2
NetworkUsa,35,2,2,2
Renater2001,24,3,3,2
Garr199901,16,2,2,2
Arpanet196912,4,2,2,2
Sanren,7,3,3,2
Renater1999,24,3,3,3
Rediris,19,2,3,4
Fccn,23,3,3,3
Uninett2010,74,4,4,4
Gblnet,8,2,4,2
Claranet,15,5,4,5
Dataxchange,6,4,4,4
Epoch,6,5,5,5
Globalcenter,9,7,7,7
Bics,33,10,11,11
Napnet,6,5,5,5
Gridnet,9,5,5,5
Netrail,7,5,5,5
Integra,27,7,7,10
Xspedius,34,10,11,10
Arpanet19706,9,3,3,3
Goodnet,17,10,11,11
Sprint,11,6,8,7
AttMpls,25,7,8,7
Abilene,11,6,8,6
Savvis,19,7,8,7
Nsfnet,13,8,9,8
Arpanet19728,29,8,9,9
Getnet,7,4,4,4
EliBackbone,20,7,8,8
Internetmci,19,8,10,9
Layer42,6,4,5,4
Bbnplanet,27,8,10,8
Arpanet19719,18,5,5,5
Darkstrand,28,8,10,10
Digex,31,8,10,10
Geant2009,34,14,17,15
Geant2010,37,14,17,14
Atmnet,21,8,10,8
Aarnet,19,7,7,7
Arpanet19723,25,7,8,8
Ibm,18,8,12,9
Navigata,13,7,7,8
Geant2001,27,11,15,11
Psinet,24,8,12,10
Agis,25,10,11,14
Ans,18,9,10,9
CrlNetworkServices,33,9,9,11
Bellcanada,48,11,13,13
Peer1,16,10,11,10
Highwinds,18,9,11,10
Quest,20,13,13,13
HostwayInternational,16,9,11,9
Xeex,24,11,13,13
HurricaneElectric,24,12,13,13
Packetexchange,21,13,14,14
