Aarnet,321299.048735,19,7
Abilene,439003.275784,11,6
Agis,304846.061855,25,14
Ans,495331.010695,18,9
Arnes,7506.5327936,34,1
Arpanet196912,370240.103865,4,2
Arpanet19706,526768.564678,9,3
Arpanet19719,296281.260086,18,5
Arpanet19723,247401.424529,25,8
Arpanet19728,174843.613014,29,9
Atmnet,282345.349652,21,8
AttMpls,192805.920917,25,7
Bbnplanet,194237.465319,27,8
Bellcanada,190048.257305,48,13
Belnet2007,15874.4931371,21,1
Belnet2008,15874.4931371,21,1
Belnet2009,15874.4931371,21,1
Bics,127186.429986,33,11
Claranet,194895.966334,15,5
CrlNetworkServices,270738.633294,33,11
Darkstrand,195207.470244,28,10
Dataxchange,656884.356154,6,4
Digex,176764.596091,31,10
EliBackbone,253951.130949,20,8
Epoch,662396.569905,6,5
Fccn,105381.510217,23,3
Garr199901,87149.1309067,16,2
Gblnet,360522.924896,8,2
Geant2001,257592.121906,27,11
Geant2009,168855.818768,34,15
Geant2010,156466.84989,37,14
Getnet,725365.70986,7,4
Globalcenter,452892.767645,9,7
Goodnet,279332.948655,17,11
Gridnet,478515.453613,9,5
Heanet,58018.7820165,7,1
Highwinds,859616.332912,18,10
HostwayInternational,1308929.59839,16,9
HurricaneElectric,1213874.22187,24,13
Ibm,348349.08872,18,9
Integra,163806.904625,27,10
Internetmci,273594.556109,19,9
Iris,16885.5995872,51,1
Itnet,43238.4538825,11,1
KentmanJul2005,6725.99508735,16,1
Kreonet,40210.8465774,13,1
Layer42,871909.494476,6,4
Mren,22838.2810275,6,1
Napnet,709138.051778,6,5
Navigata,498383.794817,13,8
Netrail,627903.276214,7,5
NetworkUsa,33583.9261264,35,2
Noel,39392.9381447,19,1
Nsfnet,388465.485607,13,8
Oxford,23655.1180263,20,1
Packetexchange,1391222.9097,21,14
Palmetto,13718.8872822,45,1
Peer1,918172.063653,16,10
Psinet,295592.499879,24,10
Quest,795442.63327,20,13
Rediris,122056.450243,19,4
Renater1999,76250.5110754,24,3
Renater2001,55967.525904,24,2
Sago,56122.3388937,18,2
Sanren,224535.581357,7,2
Savvis,254376.983552,19,7
Spiralight,38025.6232788,15,1
Sprint,432167.679127,11,7
Surfnet,7921.43728088,50,1
Telecomserbia,64307.6802682,6,1
Uninett2010,33751.2566973,74,4
Xeex,1000126.14246,24,13
Xspedius,132070.538006,34,10
York,31893.2233313,23,1
